"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","rpm_mouse_1_female_mat_bl6","rpm_mouse_2_female_mat_bl6","rpm_mouse_4_female_mat_bl6","rpm_mouse_7_male_mat_bl6","rpm_mouse_8_male_mat_bl6","rpm_mouse_1_female_pat_cast","rpm_mouse_2_female_pat_cast","rpm_mouse_4_female_pat_cast","rpm_mouse_7_male_pat_cast","rpm_mouse_8_male_pat_cast","exon_length_mat","exon_length_pat","rpkm_mouse_1_female_mat_bl6","rpkm_mouse_2_female_mat_bl6","rpkm_mouse_4_female_mat_bl6","rpkm_mouse_7_male_mat_bl6","rpkm_mouse_8_male_mat_bl6","rpkm_mouse_1_female_pat_cast","rpkm_mouse_2_female_pat_cast","rpkm_mouse_4_female_pat_cast","rpkm_mouse_7_male_pat_cast","rpkm_mouse_8_male_pat_cast","female_xa_mean_rpkm","female_xi_mean_rpkm","male_xa_mean_rpkm","male_xi_mean_rpkm","female_mean_rpkm","male_mean_rpkm","female_xa_mean_srpm","female_xi_mean_srpm","male_xa_mean_srpm","male_xi_mean_srpm","female_mean_srpm_xi_over_xa_ratio","female_mean_rpkm_gt_1","male_mean_rpkm_gt_1","female_xi_mean_srpm_gte_2"
"1810030O07Rik","ENSMUSG00000044148","MGP_CASTEiJ_G0034547","X","X",28.4672141671077,28.4109619822586,26.8252157027606,27.7549056795789,29.9004950737709,9.62813726835303,6.38916397789349,4.60411515812834,2.84286625356661,1.77173236447133,2430,2699,11.714902949427,11.6917539021641,11.0391834167739,11.4217718846004,12.3047304830333,3.56729798753354,2.36723378210207,1.70585963620909,1.05330353966899,0.656440298062739,11.4819467561217,2.54679713528157,11.8632511838168,0.854871918865866,14.0287438914032,12.7181231026827,279.011306173756,68.7380546812495,288.277003766749,23.0729930901897,0.246362972253327,1,1,1
"2610002M06Rik","ENSMUSG00000031242","MGP_CASTEiJ_G0034979","X","X",8.82483639180338,12.6557921557334,16.4154305046744,11.8949595769624,6.86240870545562,4.81406863417652,6.38916397789349,2.63092294750191,3.79048833808882,2.95288727411889,5851,6337,1.50826121890333,2.16301352858202,2.80557691072883,2.03297890565072,1.17286082814145,0.759676287545608,1.00823165186894,0.415168525722251,0.598151860200224,0.465975583733452,2.15895055273806,0.727692155045601,1.60291986689608,0.532063721966838,2.88664270778366,2.13498358886292,126.320196840704,46.1138518652397,93.7868414120899,33.7168780610385,0.365055256550871,1,1,1
"5530601H04Rik","ENSMUSG00000087174","MGP_CASTEiJ_G0015101","X","X",6.54745925843476,5.16562945131975,6.40602166036074,4.75798383078495,3.92137640311749,11.0035854495463,7.60614759273035,10.8525571584454,7.58097667617763,4.72461963859022,9004,9005,0.727172285476984,0.573703848436223,0.711463978271961,0.52843001230397,0.435514927045479,1.22194174897794,0.844658255716863,1.20517014530209,0.841863040108566,0.524666256367598,0.670780037395056,1.09059004999896,0.481972469674725,0.683264648238082,1.76137008739402,1.16523711791281,60.3970345670509,98.2076340024068,43.3968011695122,61.5279815738393,1.62603403803509,1,1,1
"Abcb7","ENSMUSG00000031333","MGP_CASTEiJ_G0034953","X","X",24.7664763253837,26.6029916742967,34.0319900706664,30.1338975949713,28.4299789226018,5.15793067947484,3.65095084451057,2.63092294750191,1.89524416904441,2.36230981929511,5913,5905,4.18847899972665,4.49906843806811,5.75545240498333,5.09621133011523,4.80804649460542,0.873485297116823,0.618281260713051,0.445541566046047,0.320955828796682,0.400052467281136,4.81433328092603,0.645769374625307,4.95212891236032,0.360504148038909,5.46010265555134,5.31263306039923,284.671526901156,38.1326815716244,292.819382587866,21.2877699416976,0.13395326883136,1,1,1
"Abcd1","ENSMUSG00000031378","MGP_CASTEiJ_G0034779","X","X",17.6496727836068,16.2717327716572,14.8139250895842,27.4905732445353,17.156021763639,8.94041317775639,9.73586891869484,9.20823031625667,0.631748056348136,1.47644363705944,4192,4192,4.21032270601306,3.8816156420938,3.53385617595043,6.55786575489868,4.09256244361618,2.13273215118234,2.32248781457415,2.1966198273513,0.150703257716636,0.352205066092425,3.87526484135243,2.21727993103593,5.32521409925743,0.25145416190453,6.09254477238837,5.57666826116196,162.451102149494,92.9483747090264,223.232975040871,10.5409584670379,0.572162167440954,1,1,1
"Ace2","ENSMUSG00000015405","MGP_CASTEiJ_G0035210","X","X",54.3723790591756,49.5900427326696,58.0545712970192,56.3028086642886,60.2911621979315,7.22110295126478,4.259442651929,10.8525571584454,6.63335459165543,9.15395054976855,3762,3762,14.4530513182285,13.1818295408479,15.4318371337106,14.9661905008742,16.026358904288,1.9194851013463,1.13222824346863,2.88478393366437,1.76325215089193,2.43326702545682,14.3555726642623,1.97883242615977,15.4962747025811,2.09825958817437,16.3344050904221,17.5945342907554,540.056643629548,74.4436758721304,582.9698543111,78.9365257071199,0.137844199771006,1,1,1
"Acot9","ENSMUSG00000025287","MGP_CASTEiJ_G0035169","X","X",12.2409020918563,16.7882957167892,12.4116669669489,12.159292012006,15.9305916376648,1.37544818119329,1.21698361483686,2.95978831593964,2.84286625356661,2.06702109188322,2272,2273,5.38772099113393,7.38921466407975,5.46288158756555,5.35180106162235,7.0117040658736,0.605124584774875,0.535408541503236,1.30215060094133,1.25071106624136,0.90938015481004,6.07993908092641,0.814227909073147,6.18175256374797,1.0800456105257,6.89416698999956,7.26179817427368,138.136215918648,18.5074003732326,140.449418248354,24.5494367272492,0.133979349659702,1,1,1
"Acsl4","ENSMUSG00000031278","MGP_CASTEiJ_G0035117","X","X",1664.19334020911,1530.31772495348,1613.91708205713,1599.73989688392,1494.77966766335,295.721358956557,265.302428034435,251.253141486432,186.681550650874,206.40682046091,5342,5405,311.53001501481,286.46906120432,302.118510306465,299.464600689614,279.816485897295,54.7125548485768,49.0846305336604,46.485317573808,34.5386772712071,38.1881258947105,300.039195508531,50.094167652015,289.640543293454,36.3634015829588,350.133363160547,326.003944876413,16028.0938240657,2707.58976159141,15472.5978227363,1965.44185555892,0.168927745951053,1,1,1
"Aifm1","ENSMUSG00000036932","MGP_CASTEiJ_G0034657","X","X",2.84672141671077,3.61594061592383,3.60338718395292,0,0.490172050389687,1.71931022649161,0.912737711127642,1.31546147375095,0.315874028174068,0.295288727411889,4006,4006,0.710614432528898,0.902631207170202,0.899497549663733,0,0.122359473387341,0.429183780951476,0.227842663786231,0.328372809223902,0.078850231695973,0.0737116144313252,0.837581063120944,0.328466417987203,0.0611797366936703,0.0762809230636491,1.16604748110815,0.137460659757319,33.553497388625,13.1583647045674,2.45086025194843,3.05581377792978,0.392160750104941,1,0,1
"Alg13","ENSMUSG00000041718","MGP_CASTEiJ_G0035125","X","X",13.0949185168695,5.94047386901772,8.40790342922347,7.92997305130825,9.0681829322092,2.06317227178994,1.21698361483686,1.31546147375095,0.315874028174068,0.295288727411889,5644,6850,2.32014856783656,1.05252903419874,1.48970648994037,1.40502711752449,1.60669435368696,0.301193032378093,0.177661841582023,0.192038171350504,0.0461129968137326,0.043107843417794,1.62079469732523,0.22363101510354,1.50586073560573,0.0446104201157633,1.84442571242877,1.55047115572149,91.4776527170357,15.3187245345925,84.9907799175873,3.05581377792978,0.167458653338836,1,1,1
