"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","female_mean_rpkm","male_mean_rpkm","female_xi_mean_srpm","female_xa_mean_srpm","male_xa_mean_srpm","male_xi_mean_srpm","female_mean_srpm_xi_over_xa_ratio","female_mean_rpkm_gt_1","male_mean_rpkm_gt_1","female_xi_mean_srpm_gte_2"
"B630019K06Rik","ENSMUSG00000052364","MGP_CASTEiJ_G0034530","X","X",8.46540293712492,9.94504116482077,12.1121357326435,205.669608721189,234.691833392468,21.1848434378867,0.0588912275758888,1,1,1
"BC065397","ENSMUSG00000087368","MGP_CASTEiJ_G0015110","X","X",2.06399640659873,1.52301213177286,17.4790843646176,55.0860565789145,43.1081050217808,10.438031963227,0.317305057761353,1,1,1
"Bcap31","ENSMUSG00000002015","MGP_CASTEiJ_G0034778","X","X",165.209490366,149.719283975889,715.0366034742,1298.86708408734,1730.55369755788,94.5243741082015,0.550507909727057,1,1,1
"Bcor","ENSMUSG00000040363","MGP_CASTEiJ_G0034545","X","X",11.2273668152336,13.3623010083466,123.867844352114,720.055939138931,864.74089325854,138.267578117223,0.172025307506303,1,1,1
"Bcorl1","ENSMUSG00000036959","MGP_CASTEiJ_G0034655","X","X",2.2895612210702,1.70588299669323,21.2536758401709,134.149595178346,99.2403676972542,16.7555125267084,0.158432649848217,1,1,1
"Bex1","ENSMUSG00000050071","MGP_CASTEiJ_G0035064","X","X",23.9221891356336,26.3669088093904,260.50956501156,21.5051857947919,163.206371374792,136.585281472543,12.113802107892,1,1,1
"Bex2","ENSMUSG00000042750","MGP_CASTEiJ_G0035060","X","X",110.558685042022,168.173167392539,105.777431453159,892.567494476299,1373.91571637012,144.687985184515,0.118509168334908,1,1,1
"Bgn","ENSMUSG00000031375","MGP_CASTEiJ_G0034773","X","X",2.22761454320272,1.18480381034809,17.7752679347715,117.622262511905,67.2573658584853,4.73811042261102,0.151121629147138,1,1,1
"Bhlhb9","ENSMUSG00000072964","MGP_CASTEiJ_G0035057","X","X",6.26388729405758,5.42040313800132,22.2857418158438,172.712117965455,155.731972055507,9.16744133378935,0.129034036976498,1,1,1
"Brcc3","ENSMUSG00000031201","MGP_CASTEiJ_G0034825","X","X",4.04258473804974,4.59208936773661,99.7293877363135,219.081489487288,263.191008951802,98.9537050193798,0.455215947133225,1,1,1
"Brwd3","ENSMUSG00000063663","MGP_CASTEiJ_G0034983","X","X",5.31851005861957,6.40475989338272,70.1881565619209,617.894607489152,759.271028874633,69.6661578695197,0.11359244070301,1,1,1
"C430049B03Rik","ENSMUSG00000087365","MGP_CASTEiJ_G0015092","X","X",1.07552854670151,0.591938396441967,10.765973223508,6.67615509126216,5.09418460238452,4.53225741498923,1.61260082732329,1,0,1
"Car5b","ENSMUSG00000031373","MGP_CASTEiJ_G0035207","X","X",2.39714429537763,1.54199586602479,35.9081698224796,116.736141818296,76.7014651834992,21.4936229493193,0.307601135887906,1,1,1
"Cask","ENSMUSG00000031012","MGP_CASTEiJ_G0034552","X","X",13.0692364088883,12.4527123894414,166.578901690988,1032.76441934114,1022.68008843912,120.241474961078,0.16129419117407,1,1,1
"Ccdc120","ENSMUSG00000031150","MGP_CASTEiJ_G0034505","X","X",29.6995448702801,20.294469180167,142.096974118502,1100.14664029159,748.100866670769,100.738928167872,0.129161848897562,1,1,1
