mouse_id,all_reads,filtered_reads
mouse_1-mat-bl6,4773667,3512813
mouse_2-mat-bl6,5222637,3871745
mouse_4-mat-bl6,3279278,2497650
mouse_7-mat-bl6,5286952,3783115
mouse_8-mat-bl6,5630569,4080200
mouse_1-pat-cast,3172251,2908143
mouse_2-pat-cast,3577058,3286815
mouse_4-pat-cast,3291421,3040758
mouse_7-pat-cast,3495893,3165819
mouse_8-pat-cast,3741399,3386516
