"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","num_reads_mouse_1_female_mat_bl6","num_reads_mouse_2_female_mat_bl6","num_reads_mouse_4_female_mat_bl6","num_reads_mouse_7_male_mat_bl6","num_reads_mouse_8_male_mat_bl6","num_reads_mouse_1_female_pat_cast","num_reads_mouse_2_female_pat_cast","num_reads_mouse_4_female_pat_cast","num_reads_mouse_7_male_pat_cast","num_reads_mouse_8_male_pat_cast"
"Mir22hg","ENSMUSG00000085148","11","MGP_CASTEiJ_G0014498","11",44,43,41,57,70,92,99,95,129,165
"Mir23a","ENSMUSG00000065611","8","MGP_CASTEiJ_G0008864","8",0,2,0,1,4,2,4,3,9,13
"Mir23b","ENSMUSG00000065599","13","MGP_CASTEiJ_G0007876","13",0,0,0,0,0,0,0,0,1,0
"Mir24-1","ENSMUSG00000105904","13","MGP_CASTEiJ_G0007879","13",0,0,0,0,0,0,0,0,0,0
"Mir24-2","ENSMUSG00000065541","8","MGP_CASTEiJ_G0008866","8",0,0,0,0,0,0,0,0,0,0
"Mir25","ENSMUSG00000065394","5","MGP_CASTEiJ_G0008619","5",0,0,0,0,0,0,0,0,0,0
"Mir26a-1","ENSMUSG00000065513","9","MGP_CASTEiJ_G0008983","9",0,0,0,0,0,0,0,0,0,0
"Mir26a-2","ENSMUSG00000065430","10","MGP_CASTEiJ_G0007579","10",0,0,0,0,0,0,0,0,0,0
"Mir26b","ENSMUSG00000065468","1","MGP_CASTEiJ_G0007446","1",0,0,0,0,0,0,0,1,0,0
"Mir27a","ENSMUSG00000065444","8","MGP_CASTEiJ_G0008865","8",0,0,0,0,2,0,2,1,0,2
"Mir27b","ENSMUSG00000065475","13","MGP_CASTEiJ_G0007877","13",0,0,0,0,0,0,0,0,0,0
"Mir2861","ENSMUSG00000093280","2","MGP_CASTEiJ_G0008311","2",0,0,0,0,0,0,0,0,0,0
"Mir28a","ENSMUSG00000065494","16","MGP_CASTEiJ_G0008049","16",0,0,0,0,0,0,0,0,0,0
"Mir28b","ENSMUSG00000093140","8","MGP_CASTEiJ_G0008854","8",0,1,0,0,0,0,0,0,0,0
"Mir28c","ENSMUSG00000104794","15","MGP_CASTEiJ_G0007969","15",0,0,0,0,0,0,0,0,0,0
"Mir290a","ENSMUSG00000077815","7","MGP_CASTEiJ_G0008707","7",0,0,0,0,0,0,0,0,0,0
"Mir290b","ENSMUSG00000106340","7","MGP_CASTEiJ_G0008708","7",0,0,0,0,0,0,0,0,0,0
"Mir291a","ENSMUSG00000078008","7","MGP_CASTEiJ_G0008709","7",0,0,0,0,0,0,0,0,0,0
"Mir291b","ENSMUSG00000078032","7","MGP_CASTEiJ_G0008712","7",0,0,0,0,0,0,0,0,0,0
"Mir292","ENSMUSG00000078041","7","MGP_CASTEiJ_G0008710","7",0,0,0,0,0,0,0,0,0,0
"Mir292b","ENSMUSG00000104747","7","MGP_CASTEiJ_G0008711","7",0,0,0,0,0,0,0,0,0,0
"Mir293","ENSMUSG00000078035","7","MGP_CASTEiJ_G0008713","7",0,0,0,0,0,0,0,0,0,0
"Mir294","ENSMUSG00000077903","7","MGP_CASTEiJ_G0008714","7",0,0,0,0,0,0,0,0,0,0
"Mir295","ENSMUSG00000077886","7","MGP_CASTEiJ_G0008715","7",0,0,0,0,0,0,0,0,0,0
"Mir296","ENSMUSG00000065521","2","MGP_CASTEiJ_G0008392","2",0,0,0,0,0,0,0,0,0,0
"Mir297a-3","ENSMUSG00000076956","2","MGP_CASTEiJ_G0008273","2",0,0,0,0,0,0,0,0,0,0
"Mir297a-4","ENSMUSG00000077954","2","MGP_CASTEiJ_G0008275","2",0,0,0,0,0,0,0,0,0,0
"Mir297b","ENSMUSG00000076222","2","MGP_CASTEiJ_G0008264","2",0,0,0,0,0,0,0,0,0,0
"Mir297c","ENSMUSG00000076976","2","MGP_CASTEiJ_G0008258","2",0,0,0,0,0,0,0,0,0,0
