"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","rpm_mouse_1_female_mat_bl6","rpm_mouse_2_female_mat_bl6","rpm_mouse_4_female_mat_bl6","rpm_mouse_7_male_mat_bl6","rpm_mouse_8_male_mat_bl6","rpm_mouse_1_female_pat_cast","rpm_mouse_2_female_pat_cast","rpm_mouse_4_female_pat_cast","rpm_mouse_7_male_pat_cast","rpm_mouse_8_male_pat_cast"
"A230072E10Rik","ENSMUSG00000084771","X","MGP_CASTEiJ_G0004613","X",1.70803285002646,0.774844417697963,0.800752707545092,0.264332435043608,1.22543012597422,1.03158613589497,0.304245903709214,0.657730736875476,1.26349611269627,0.295288727411889
"A630012P03Rik","ENSMUSG00000055110","X","MGP_CASTEiJ_G0004591","X",0,0,0,0,0,0,0,0,0,0
"Abcb7","ENSMUSG00000031333","X","MGP_CASTEiJ_G0034953","X",24.7664763253837,26.6029916742967,34.0319900706664,30.1338975949713,28.4299789226018,5.15793067947484,3.65095084451057,2.63092294750191,1.89524416904441,2.36230981929511
"Abcd1","ENSMUSG00000031378","X","MGP_CASTEiJ_G0034779","X",17.6496727836068,16.2717327716572,14.8139250895842,27.4905732445353,17.156021763639,8.94041317775639,9.73586891869484,9.20823031625667,0.631748056348136,1.47644363705944
"Ace2","ENSMUSG00000015405","X","MGP_CASTEiJ_G0035210","X",54.3723790591756,49.5900427326696,58.0545712970192,56.3028086642886,60.2911621979315,7.22110295126478,4.259442651929,10.8525571584454,6.63335459165543,9.15395054976855
"Acot9","ENSMUSG00000025287","X","MGP_CASTEiJ_G0035169","X",12.2409020918563,16.7882957167892,12.4116669669489,12.159292012006,15.9305916376648,1.37544818119329,1.21698361483686,2.95978831593964,2.84286625356661,2.06702109188322
"Acsl4","ENSMUSG00000031278","X","MGP_CASTEiJ_G0035117","X",1664.19334020911,1530.31772495348,1613.91708205713,1599.73989688392,1494.77966766335,295.721358956557,265.302428034435,251.253141486432,186.681550650874,206.40682046091
"Actrt1","ENSMUSG00000046615","X","MGP_CASTEiJ_G0034647","X",0,0,0,0,0,0,0,0,0,0
"Adgrg2","ENSMUSG00000031298","X","MGP_CASTEiJ_G0035188","X",0,0.258281472565988,0,0,0,0,0,0,0,0
"Aff2","ENSMUSG00000031189","X","MGP_CASTEiJ_G0034739","X",0,0,0,0,0,0,0,0,0,0
"Agtr2","ENSMUSG00000068122","X","MGP_CASTEiJ_G0034587","X",0,0,0,0,0,0,0,0,0,0
"Aifm1","ENSMUSG00000036932","X","MGP_CASTEiJ_G0034657","X",2.84672141671077,3.61594061592383,3.60338718395292,0,0.490172050389687,1.71931022649161,0.912737711127642,1.31546147375095,0.315874028174068,0.295288727411889
"Akap14","ENSMUSG00000036551","X","MGP_CASTEiJ_G0034611","X",0,0,0,0,0,0,0,0,0,0
"Akap17b","ENSMUSG00000059708","X","MGP_CASTEiJ_G0034601","X",0.85401642501323,0.774844417697963,2.40225812263528,1.58599461026165,1.22543012597422,0.687724090596645,0.912737711127642,0,1.26349611269627,0.590577454823778
"Akap4","ENSMUSG00000050089","X","MGP_CASTEiJ_G0034490","X",0,0,0,0,0,0,0,0,0,0
"Alas2","ENSMUSG00000025270","X","MGP_CASTEiJ_G0035134","X",0,0,0.400376353772546,0,0,0,0,0,0,0
"Alg13","ENSMUSG00000041718","X","MGP_CASTEiJ_G0035125","X",13.0949185168695,5.94047386901772,8.40790342922347,7.92997305130825,9.0681829322092,2.06317227178994,1.21698361483686,1.31546147375095,0.315874028174068,0.295288727411889
"Amelx","ENSMUSG00000031354","X","MGP_CASTEiJ_G0035234","X",0,0,0,0,0,0,0,0,0,0
"Amer1","ENSMUSG00000050332","X","MGP_CASTEiJ_G0034881","X",35.0146734255424,25.3115843114668,29.6278501791684,21.6752596735759,30.3906671241606,8.59655113245807,5.17218036305664,10.5236917900076,9.16034681704797,11.2209716416518
"Ammecr1","ENSMUSG00000042225","X","MGP_CASTEiJ_G0035119","X",7.68614782511907,8.78157006724358,3.60338718395292,5.81531357095938,6.37223665506593,0.687724090596645,0.304245903709214,1.31546147375095,2.21111819721848,2.06702109188322
"Amot","ENSMUSG00000041688","X","MGP_CASTEiJ_G0035129","X",3.98540998339507,8.78157006724358,3.20301083018037,7.40130818122103,11.2739571589628,1.03158613589497,0.608491807418428,0.328865368437738,0.947622084522204,1.18115490964756
"Ap1s2","ENSMUSG00000031367","X","MGP_CASTEiJ_G0035205","X",20.4963942003175,12.9140736282994,17.616559565992,13.480954187224,10.0485270329886,4.4702065888782,3.95519674821978,6.24844200031703,3.47461430991475,2.95288727411889
"Apln","ENSMUSG00000037010","X","MGP_CASTEiJ_G0034650","X",3.13139355838184,1.80797030796191,3.20301083018037,0.792997305130825,1.47051615116906,1.03158613589497,0.608491807418428,1.97319221062643,0,0
"Apoo","ENSMUSG00000079508","X","MGP_CASTEiJ_G0034875","X",5.40877069175046,4.64906650618778,5.60526895281565,8.19430548635185,4.16646242831234,0,0,0,0,0
"Apool","ENSMUSG00000025525","X","MGP_CASTEiJ_G0034995","X",6.83213140010584,4.90734797875377,4.80451624527055,2.37899191539247,4.41154845350718,0,0,0,0,0.295288727411889
"Ar","ENSMUSG00000046532","X","MGP_CASTEiJ_G0034895","X",0,0.258281472565988,0,0,0,0,0.304245903709214,0,0,0
"Araf","ENSMUSG00000001127","X","MGP_CASTEiJ_G0034576","X",58.9271333259129,61.2127089981391,79.6748944007367,51.0161599634164,56.369785794814,11.0035854495463,9.73586891869484,9.20823031625667,5.05398445078509,6.49635200306155
"Arhgap36","ENSMUSG00000036198","X","MGP_CASTEiJ_G0034665","X",0,0.258281472565988,0,0.264332435043608,0,0,0,0,0,0
"Arhgap4","ENSMUSG00000031389","X","MGP_CASTEiJ_G0034786","X",5.97811497509261,7.49016270441364,12.0112906131764,10.8376298367879,11.5190431841576,3.78248249828155,1.21698361483686,1.97319221062643,1.26349611269627,0.295288727411889
"Arhgap6","ENSMUSG00000031355","X","MGP_CASTEiJ_G0035233","X",25.3358206087258,37.4508135220682,26.8252157027606,31.9842246402766,20.342140091172,9.62813726835303,7.30190168902113,3.94638442125286,2.84286625356661,5.61048582082589
"Arhgef6","ENSMUSG00000031133","X","MGP_CASTEiJ_G0034712","X",28.4672141671077,34.3514358512764,28.4267211178508,37.0065409061052,30.1455810989657,11.691309540143,9.73586891869484,10.1948264215699,7.26510264800357,5.90577454823778
"Arhgef9","ENSMUSG00000025656","X","MGP_CASTEiJ_G0034880","X",0.85401642501323,1.54968883539593,2.40225812263528,2.37899191539247,1.96068820155875,0.343862045298323,0.304245903709214,0,0,0
"Arl13a","ENSMUSG00000052549","X","MGP_CASTEiJ_G0035027","X",0,0,0,0,0,0,0,0,0,0
"Armcx1","ENSMUSG00000033460","X","MGP_CASTEiJ_G0035039","X",12.5255742335274,14.7220439362613,10.4097851980862,16.3886109727037,16.1756776628597,9.28427522305471,9.43162301498563,5.59071126344155,3.79048833808882,5.315197093414
"Armcx2","ENSMUSG00000033436","X","MGP_CASTEiJ_G0035042","X",1.13868856668431,1.03312589026395,2.00188176886273,3.1719892205233,4.90172050389687,1.03158613589497,0.608491807418428,0.657730736875476,1.89524416904441,2.657598546707
"Armcx3","ENSMUSG00000049047","X","MGP_CASTEiJ_G0035041","X",10.5328692418298,14.4637624636953,8.00752707545092,14.0096190573112,16.9109357384442,9.97199931365136,10.9528525335317,15.127806948136,19.5841897467922,11.5162603690637
"Armcx4","ENSMUSG00000049804","X","MGP_CASTEiJ_G0035038","X",1.99270499169754,1.54968883539593,0.800752707545092,0.792997305130825,0.490172050389687,1.03158613589497,1.52122951854607,0.328865368437738,0.947622084522204,0
"Armcx5","ENSMUSG00000072969","X","MGP_CASTEiJ_G0035055","X",8.25549210846122,5.42391092388574,5.2048925990431,4.75798383078495,5.14680652909171,1.37544818119329,0.304245903709214,0.657730736875476,0.631748056348136,0
"Armcx6","ENSMUSG00000050394","X","MGP_CASTEiJ_G0035040","X",0,1.03312589026395,0.400376353772546,0.528664870087217,1.96068820155875,0.343862045298323,1.52122951854607,0.328865368437738,1.26349611269627,1.47644363705944
"Arr3","ENSMUSG00000060890","X","MGP_CASTEiJ_G0034909","X",0,0.258281472565988,0.400376353772546,0.264332435043608,0.245086025194843,0,0,0,0,0
"Arx","ENSMUSG00000035277","X","MGP_CASTEiJ_G0034866","X",0,0,0,0,0,0,0,0,0,0
"Asb11","ENSMUSG00000031382","X","MGP_CASTEiJ_G0035215","X",3.41606570005292,2.32453325309389,1.60150541509018,1.32166217521804,1.22543012597422,0,0.912737711127642,0.328865368437738,0.631748056348136,0
"Asb12","ENSMUSG00000031204","X","MGP_CASTEiJ_G0034882","X",0,0,0,0,0,0,0,0,0,0
"Asb9","ENSMUSG00000031384","X","MGP_CASTEiJ_G0035216","X",0,0,0,0,0,0,0,0,0,0
"Atp11c","ENSMUSG00000062949","X","MGP_CASTEiJ_G0034721","X",28.4672141671077,24.5367398937688,34.0319900706664,19.8249326282706,24.5086025194843,2.75089636238658,2.1297213259645,2.63092294750191,3.15874028174068,2.95288727411889
"Atp1b4","ENSMUSG00000016327","X","MGP_CASTEiJ_G0034627","X",0,0,0,0,0,0,0,0,0,0
"Atp2b3","ENSMUSG00000031376","X","MGP_CASTEiJ_G0034774","X",0,0,0.400376353772546,0.264332435043608,0,0,0,0,0,0
"Atp6ap1","ENSMUSG00000019087","X","MGP_CASTEiJ_G0034801","X",0.85401642501323,1.29140736282994,10.0094088443137,0.528664870087217,1.22543012597422,1.03158613589497,0.304245903709214,1.64432684218869,0.315874028174068,0
"Atp6ap2","ENSMUSG00000031007","X","MGP_CASTEiJ_G0034546","X",174.50402284437,176.147964290004,182.971993674054,176.838399044174,171.805303661585,11.3474474948446,14.2995574743331,10.5236917900076,14.2143312678331,14.4691476431826
"Atp7a","ENSMUSG00000033792","X","MGP_CASTEiJ_G0034965","X",15.9416399335803,22.2122066406749,33.6316137168939,29.8695651599277,21.5675702171462,5.84565477007149,6.08491807418428,10.5236917900076,5.36985847895916,2.36230981929511
"Atrx","ENSMUSG00000031229","X","MGP_CASTEiJ_G0034962","X",192.438367769648,200.684704183772,266.250275258743,230.76221579307,238.468702514583,48.8284104323618,60.2406889344244,75.3101693722421,60.6478134094211,68.8022734869701
"AU015836","ENSMUSG00000081044","X","MGP_CASTEiJ_G0034870","X",0.284672141671077,0,0.400376353772546,1.05732974017443,0.245086025194843,1.03158613589497,1.82547542225528,1.64432684218869,1.89524416904441,0
"Avpr2","ENSMUSG00000031390","X","MGP_CASTEiJ_G0034787","X",0,0,0,0,0,0,0,0,0,0
"Awat1","ENSMUSG00000015665","X","MGP_CASTEiJ_G0034907","X",0,0,0,0,0,0,0,0,0,0
"Awat2","ENSMUSG00000031220","X","MGP_CASTEiJ_G0034903","X",0.569344283342153,1.03312589026395,1.60150541509018,2.11465948034887,1.22543012597422,0,0,0,0,0.295288727411889
"B230119M05Rik","ENSMUSG00000087024","X","MGP_CASTEiJ_G0015104","X",0,0,0,0,0,0,0,0,0,0
"B630019K06Rik","ENSMUSG00000052364","X","MGP_CASTEiJ_G0034530","X",23.9124599003704,19.3711104424491,18.4173122735371,21.9395921086195,24.998774569874,2.06317227178994,0.912737711127642,0.657730736875476,1.57937014087034,2.657598546707
"BC065397","ENSMUSG00000087368","X","MGP_CASTEiJ_G0015110","X",3.98540998339507,4.1325035610558,8.40790342922347,3.96498652565412,4.65663447870203,2.40703431708826,1.52122951854607,1.31546147375095,0.315874028174068,1.77173236447133
"Bcap31","ENSMUSG00000002015","X","MGP_CASTEiJ_G0034778","X",126.679103043629,145.670750527217,117.310271655356,172.344747648433,173.765991863144,67.3969608784712,83.971869423743,63.1421507400457,9.16034681704797,9.74452800459233
"Bcor","ENSMUSG00000040363","X","MGP_CASTEiJ_G0034545","X",63.197215450979,79.5506935503242,73.268872740376,96.481338790917,76.4668398607911,14.4422059025296,11.8655902446593,10.8525571584454,12.0032130706146,15.6503025528301
"Bcorl1","ENSMUSG00000036959","X","MGP_CASTEiJ_G0034655","X",14.802951366896,13.4306365734314,12.0112906131764,10.0446325316571,9.80344100779373,1.03158613589497,3.04245903709214,2.30205757906417,1.57937014087034,1.77173236447133
"Bex1","ENSMUSG00000050071","X","MGP_CASTEiJ_G0035064","X",3.700737841724,1.54968883539593,1.20112906131764,17.4459407128781,15.1953335620803,23.0387570349876,30.1203444672122,24.9937680012681,11.3714650142665,15.945591280242
"Bex2","ENSMUSG00000042750","X","MGP_CASTEiJ_G0035060","X",63.4818875926501,68.9611531751187,135.327207575121,141.946517618418,132.836625655605,8.59655113245807,6.69340988160271,16.4432684218869,13.5825832114849,15.3550138254182
"Bex4","ENSMUSG00000047844","X","MGP_CASTEiJ_G0017657","11",57.7884447592286,36.4176876318043,49.6466678677957,202.742977678448,169.844615460026,25.7896533973742,24.9481641041555,25.9803641065813,20.2159378031404,22.1466545558917
"Bgn","ENSMUSG00000031375","X","MGP_CASTEiJ_G0034773","X",15.3722956502381,11.1061033203375,8.80827978299602,6.3439784410466,7.10749473065046,2.75089636238658,0.608491807418428,1.97319221062643,0.947622084522204,0
"Bhlhb9","ENSMUSG00000072964","X","MGP_CASTEiJ_G0035057","X",13.0949185168695,15.4968883539593,23.2218285188077,13.7452866222676,17.4011077888339,1.71931022649161,3.65095084451057,1.31546147375095,0.947622084522204,0.885866182235666
"Bmp15","ENSMUSG00000023279","X","MGP_CASTEiJ_G0034486","X",0,0,0,0,0,0,0,0,0,0
