name,chr,Samp1_B6,Samp2_B6,Samp3_B6,Samp4_B6,Samp5_B6,Samp1_Cas,Samp2_Cas,Samp3_Cas,Samp4_Cas,Samp5_Cas
2013,Alg13,X,13.0940164614559,5.94009951991083,8.4072032917804,7.92957689892221,9.06767845620078,2.06318787973403,1.21700064714009,1.31547055861786,0.315880014871631,0.295294482422596
2058,Amelx,X,0,0,0,0,0,0,0,0,0,0
2059,Amer1,X,35.012261407806,25.3099892587505,29.6253830281785,21.674176857054,30.388976447808,8.59661616555845,5.1722527503454,10.5237644689429,9.1605204312773,11.2211903320586
2068,Ammecr1,X,7.68561835781108,8.78101668160731,3.60308712504874,5.81502305920962,6.37188215841136,0.687729293244676,0.304250161785024,1.31547055861786,2.21116010410142,2.06706137695817
2072,Amot,X,3.98513544479093,8.78101668160731,3.20274411115444,7.40093843899407,11.2733299725739,1.03159393986701,0.608500323570047,0.328867639654465,0.947640044614893,1.18117792969038
2212,Ap1s2,X,20.4949822874962,12.9132598258931,17.6150926113494,13.4802807281678,10.0479680190333,4.47024040609039,3.95525210320531,6.24848515343484,3.47468016358794,2.95294482422596
2251,Apln,X,3.13117784947859,1.80785637562503,3.20274411115444,0.792957689892221,1.47043434424878,1.03159393986701,0.608500323570047,1.97320583792679,0,0
2281,Apoo,X,5.40839810364483,4.64877353732152,5.60480219452027,8.19389612888629,4.1662306420382,0,0,0,0,0
2282,Apool,X,6.83166076249874,4.90703873383938,4.80411616673166,2.37887306967666,4.41130303274633,0,0,0,0,0.295294482422596
2302,Ar,X,0,0.258265196517862,0,0,0,0,0.304250161785024,0,0,0
2303,Araf,X,58.9230740765516,61.2088515747333,79.6682597649666,51.0136113830662,56.3666498628697,11.0036686919148,9.73600517712075,9.20829391032503,5.0540802379461,6.49647861329711
2357,Arhgap36,X,0,0.258265196517862,0,0.264319229964074,0,0,0,0,0,0
2359,Arhgap4,X,5.97770316718639,7.489690699018,12.0102904168291,10.837088428527,11.5184023632821,3.78251111284572,1.21700064714009,1.97320583792679,1.26352005948652,0.295294482422596
2364,Arhgap6,X,25.3340753275995,37.44845349509,26.8229819309184,31.9826268256529,20.3410084287747,9.62821010542546,7.30200388284057,3.94641167585358,2.84292013384468,5.61059516602932
2390,Arhgef6,X,28.4652531770781,34.3492711368756,28.4243539864956,37.0046921949703,30.1439040570999,11.6913979851595,9.73600517712075,10.1948968292884,7.26524034204752,5.90588964845192
2392,Arhgef9,X,0.853957595312342,1.54959117910717,2.40205808336583,2.37887306967666,1.96057912566503,0.343864646622338,0.304250161785024,0,0,0
2408,Arl13a,X,0,0,0,0,0,0,0,0,0,0
2441,Armcx1,X,12.5247113979144,14.7211162015181,10.4089183612519,16.3877922577726,16.1747777867365,9.28434545880312,9.43175501533573,5.59074987412591,3.79056017845957,5.31530068360673
2442,Armcx2,X,1.13861012708312,1.03306078607145,2.00171506947152,3.17183075956889,4.90144781416259,1.03159393986701,0.608500323570047,0.657735279308931,1.89528008922979,2.65765034180336
2443,Armcx3,X,10.5321436755189,14.4628510050003,8.00686027788609,14.0089191880959,16.9099949588609,9.9720747520478,10.9530058242608,15.1279114241054,19.5845609220411,11.5164848144812
2444,Armcx4,X,1.99256772239546,1.54959117910717,0.800686027788609,0.792957689892221,0.490144781416259,1.03159393986701,1.52125080892512,0.328867639654465,0.947640044614893,0
2445,Armcx5,X,8.25492342135264,5.4235691268751,5.20445918062596,4.75774613935333,5.14652020487072,1.37545858648935,0.304250161785024,0.657735279308931,0.631760029743262,0
2446,Armcx6,X,0,1.03306078607145,0.400343013894305,0.528638459928147,1.96057912566503,0.343864646622338,1.52125080892512,0.328867639654465,1.26352005948652,1.47647241211298
2462,Arr3,X,0,0.258265196517862,0.400343013894305,0.264319229964074,0.245072390708129,0,0,0,0,0
2482,Arx,X,0,0,0,0,0,0,0,0,0,0
2491,Asb11,X,3.41583038124937,2.32438676866076,1.60137205557722,1.32159614982037,1.22536195354065,0,0.912750485355071,0.328867639654465,0.631760029743262,0
2492,Asb12,X,0,0,0,0,0,0,0,0,0,0
2507,Asb9,X,0,0,0,0,0,0,0,0,0,0
2601,Atp11c,X,28.4652531770781,24.5351936691969,34.0291561810159,19.8239422473055,24.5072390708129,2.7509171729787,2.12975113249516,2.63094111723572,3.15880014871631,2.95294482422596
2615,Atp1b4,X,0,0,0,0,0,0,0,0,0,0
2621,Atp2b3,X,0,0,0.400343013894305,0.264319229964074,0,0,0,0,0,0
