gene_id	gene_name	chromosome	count
MGP_CASTEiJ_G0035047		X	0
MGP_CASTEiJ_G0035048		X	0
MGP_CASTEiJ_G0035049		X	0
MGP_CASTEiJ_G0015106		X	0
MGP_CASTEiJ_G0015107		X	0
MGP_CASTEiJ_G0038373		X	0
MGP_CASTEiJ_G0015108		X	0
MGP_CASTEiJ_G0038374		X	0
MGP_CASTEiJ_G0035050	Nxf7	X	0
MGP_CASTEiJ_G0035051	Prame	X	0
MGP_CASTEiJ_G0014234		X	0
MGP_CASTEiJ_G0035052	Tcp11x2	X	0
MGP_CASTEiJ_G0035053		X	0
MGP_CASTEiJ_G0035054	Gprasp1	X	34
MGP_CASTEiJ_G0035055	Armcx5	X	2
MGP_CASTEiJ_G0014235		X	0
MGP_CASTEiJ_G0009076	Mir7646	X	0
MGP_CASTEiJ_G0009077	Mir1970	X	0
MGP_CASTEiJ_G0035056	Gprasp2	X	2
MGP_CASTEiJ_G0035057	Bhlhb9	X	3
MGP_CASTEiJ_G0014236		X	0
MGP_CASTEiJ_G0035058		X	18
MGP_CASTEiJ_G0035059		X	1
MGP_CASTEiJ_G0035060	Bex2	X	43
MGP_CASTEiJ_G0035061	Nxf3	X	0
MGP_CASTEiJ_G0015109	5730412P04Rik	X	0
MGP_CASTEiJ_G0034560	Ndp	X	0
MGP_CASTEiJ_G0035062	Tceal8	X	751
MGP_CASTEiJ_G0009078	Mir6383	X	0
MGP_CASTEiJ_G0035063	Tceal5	X	0
MGP_CASTEiJ_G0035064	Bex1	X	36
MGP_CASTEiJ_G0035065	Tceal7	X	0
MGP_CASTEiJ_G0035066	Wbp5	X	463
MGP_CASTEiJ_G0035067	Ngfrap1	X	1
MGP_CASTEiJ_G0035629	n-R5s12	X	0
MGP_CASTEiJ_G0014237		X	0
MGP_CASTEiJ_G0014238		X	0
MGP_CASTEiJ_G0014239		X	0
MGP_CASTEiJ_G0014240		X	0
MGP_CASTEiJ_G0039374		X	0
MGP_CASTEiJ_G0014241		X	0
MGP_CASTEiJ_G0035068		X	0
MGP_CASTEiJ_G0014242		X	0
MGP_CASTEiJ_G0009633	Gm23068	X	0
MGP_CASTEiJ_G0035069	Tceal1	X	22
MGP_CASTEiJ_G0035070		X	54
MGP_CASTEiJ_G0015110	BC065397	X	1
MGP_CASTEiJ_G0035071	Glra4	X	0
MGP_CASTEiJ_G0038520		X	0
MGP_CASTEiJ_G0035072	Plp1	X	0
MGP_CASTEiJ_G0035073	Rab9b	X	0
MGP_CASTEiJ_G0014243		X	0
MGP_CASTEiJ_G0014244		X	0
MGP_CASTEiJ_G0035074	H2bfm	X	0
MGP_CASTEiJ_G0014245		X	1
MGP_CASTEiJ_G0035075		X	0
MGP_CASTEiJ_G0035076		X	0
MGP_CASTEiJ_G0035077		X	0
MGP_CASTEiJ_G0035078	Slc25a53	X	0
MGP_CASTEiJ_G0035079	Zcchc18	X	0
MGP_CASTEiJ_G0035080	Vma21-ps	X	0
MGP_CASTEiJ_G0014246		X	0
MGP_CASTEiJ_G0038521		X	0
MGP_CASTEiJ_G0035081	Fam199x	X	28
MGP_CASTEiJ_G0038375	Gm25770	X	0
MGP_CASTEiJ_G0014247		X	0
MGP_CASTEiJ_G0014248		X	0
